college,Branch,Gender,age,address,Nation,famsize,firstchild,siblings,Pstatus,PrelationQ,Medu,Fedu,Mjob,Fjob,famincome,Povertyline,houstatus,workstatus,PermAdd,TypeofLivng,FrndCircle,reasonforjoin,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,PCathome,internet,Phoneusage,romantic,famrel,freetime,goout,dalc,walc,Crimeact,NcrimAct,Harrasment,Discrimnation,health,lonlineess,LangUsdTeacher,PrerequistSkill,DificultyLevel,Expofprivate,GenofTeacher,QualityofNotes,Motvatnofprivate,Clasize,ClasComm,workload,FeedbckonTeaching,absences,Infrastucture,TutionFee,WaterFacility,ToiletFacility,TransportSystem,library,wifi,teachingMode,Training,CulturalAct,ragging,StressTimPresure,Self-Discipline,diligent,Communication,Punctual,Groupdiscussion,courteous,teamplayer,Creativethink,Responsible,Conduct,WR-1,WR-2,ST-1,ST-2,ST-3,AWR,SWR,ACTIVITY,FINAL
KVG,CV,F,16,U,Indian,LE3,yes,no,T,5,2,2,other,business,1,below,no,no,no,1,2,course,father,1,2,1,yes,no,no,yes,yes,yes,no,no,1,no,5,4,1,1,1,no,yes,no,no,5,no,Kannada,yes,2,1,F,3,1,2,3,3,4,14,2,4,3,3,3,3,2,online,yes,yes,no,yes,1,1,4,2,4,4,4,5,1,2,10,10,9,10,10,10,10,10,30
KVG,CV,F,15,U,Indian,LE3,yes,no,A,2,4,3,other,other,1,below,yes,no,no,3,4,course,father,1,4,0,yes,yes,yes,yes,yes,yes,no,no,3,no,4,3,3,2,2,no,no,no,no,5,no,English,no,4,2,F,4,4,2,2,4,3,8,1,1,1,4,2,4,4,offline,yes,yes,no,no,4,4,4,4,2,3,4,5,1,2,8,8,10,10,10,8,10,6,24
KVG,CV,F,16,U,Indian,LE3,yes,no,A,2,3,3,other,selfemployed,3,above,no,no,yes,1,3,course,mother,2,3,0,no,yes,no,no,yes,yes,yes,yes,3,yes,5,2,2,1,1,no,no,no,no,3,no,Kannada,yes,1,2,F,3,3,2,4,2,5,12,2,4,4,4,4,2,3,online,yes,yes,no,yes,3,5,5,2,4,2,2,3,1,2,11,11,10,11,10,11,10,10,33
KVG,CV,M,16,U,Indian,GT3,no,yes,T,3,4,3,other,selfemployed,3,above,no,no,yes,1,2,home,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,1,no,2,3,5,1,4,no,no,no,no,2,no,English,no,2,2,M,4,5,2,1,5,1,4,4,3,5,5,2,4,2,offline,yes,yes,no,no,4,4,2,1,2,4,5,4,1,3,19,19,18,18,17,19,18,20,57
KVG,CV,M,15,U,Indian,GT3,no,yes,T,1,4,2,private,other,2,above,no,no,yes,1,4,reputation,mother,4,4,0,no,yes,yes,no,yes,yes,yes,yes,1,no,4,2,2,1,1,no,no,no,no,5,no,English,no,3,3,M,4,5,2,1,5,1,2,2,4,4,2,1,2,4,offline,yes,yes,no,no,2,4,1,1,2,3,2,5,1,5,15,15,18,16,15,15,12,16,45
KVG,CV,F,15,U,Indian,GT3,yes,no,T,5,4,4,at_home,selfemployed,5,above,no,no,yes,2,3,reputation,other,1,2,1,no,yes,yes,no,yes,yes,no,no,5,no,4,2,2,1,1,no,yes,no,yes,3,yes,Kannada,yes,5,2,M,1,5,5,5,5,3,2,5,2,3,2,5,2,4,offline,yes,yes,yes,no,5,3,4,3,4,5,4,2,5,1,7,7,7,8,8,7,8,6,21
KVG,CV,F,16,U,Indian,LE3,yes,no,T,3,2,2,other,other,2,above,yes,no,no,5,3,other,father,1,2,0,yes,yes,no,yes,no,yes,yes,no,1,no,4,3,3,2,2,yes,no,yes,yes,4,yes,Kannada,no,4,2,M,4,5,5,4,4,4,2,2,5,5,5,5,3,5,online,yes,no,yes,no,2,1,4,3,3,1,3,1,2,5,12,13,13,12,11,13,12,10,36
KVG,CV,F,15,U,Indian,LE3,yes,no,T,3,4,2,at_home,selfemployed,3,below,no,no,no,1,2,reputation,father,3,2,0,no,yes,yes,no,yes,yes,yes,yes,4,no,4,4,4,1,1,no,no,no,no,5,yes,Kannada,yes,3,1,F,4,3,1,5,3,3,2,3,2,5,2,5,3,1,online,no,yes,no,no,1,2,3,3,1,5,4,4,2,5,11,13,11,11,11,12,11,10,33
KVG,CV,M,15,U,Indian,LE3,no,yes,A,1,4,2,at_home,business,2,below,yes,yes,yes,1,4,course,father,1,2,1,no,yes,yes,no,yes,yes,no,no,1,no,4,3,3,2,3,yes,no,yes,yes,5,yes,English,no,4,4,F,4,5,5,1,2,4,2,1,5,4,2,5,1,2,offline,yes,no,no,no,2,3,2,5,5,2,2,4,2,4,11,11,11,11,12,11,11,11,33
KVG,CV,F,15,U,Indian,GT3,yes,no,T,5,4,4,private,other,2,above,no,no,no,5,1,reputation,other,2,1,0,no,no,no,no,yes,yes,no,yes,3,no,4,3,3,1,1,yes,yes,yes,yes,5,yes,Kannada,yes,4,2,F,5,3,1,4,4,1,6,1,5,4,3,5,2,2,offline,no,yes,no,yes,5,1,2,4,3,1,2,1,4,1,8,10,10,9,9,9,9,6,24
KVG,CV,F,15,U,Indian,LE3,yes,no,A,3,3,3,private,other,3,below,no,no,no,4,5,course,father,1,1,0,yes,yes,yes,no,yes,yes,yes,yes,4,no,5,5,5,3,4,no,yes,no,no,1,yes,Kannada,yes,4,3,M,2,3,2,3,1,2,0,5,2,1,5,1,5,4,online,yes,yes,no,no,5,1,4,4,1,3,5,1,5,5,10,13,10,10,10,12,10,8,30
KVG,CV,F,16,U,Indian,GT3,yes,no,A,1,2,1,private,private,3,above,no,no,no,4,1,other,father,1,1,0,no,no,yes,no,yes,yes,no,yes,3,yes,3,3,4,2,3,no,yes,no,no,2,no,Kannada,no,1,2,M,1,1,4,1,3,1,6,4,4,3,5,2,1,2,online,no,no,no,yes,2,5,1,1,3,3,3,2,2,2,8,9,9,9,9,9,9,6,24
KVG,CV,F,15,U,Indian,GT3,yes,no,A,3,4,3,at_home,selfemployed,2,above,no,yes,no,2,5,reputation,father,1,2,0,no,no,yes,yes,yes,yes,no,no,2,no,5,3,4,4,4,yes,no,no,no,1,yes,Kannada,no,5,2,M,2,1,1,2,4,4,8,5,5,2,4,5,5,4,offline,yes,yes,yes,yes,5,1,4,3,3,1,5,2,2,5,14,15,13,14,12,15,13,14,42
KVG,CV,M,15,U,Indian,GT3,no,yes,T,4,4,4,private,other,5,below,no,no,no,4,4,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,no,5,3,4,1,1,no,yes,no,no,5,yes,Kannada,no,1,4,F,3,2,5,3,5,1,0,3,4,5,1,4,5,1,offline,yes,no,no,yes,4,5,4,4,4,3,5,3,1,3,14,15,14,13,12,15,13,14,42
KVG,CV,M,15,U,Indian,LE3,no,yes,T,5,1,2,private,other,5,above,no,yes,no,1,5,course,father,1,2,0,no,yes,no,yes,yes,yes,no,yes,3,no,4,3,2,1,1,no,yes,no,no,5,no,Kannada,no,5,2,F,3,2,5,5,5,5,4,4,4,5,5,2,3,5,offline,no,yes,yes,no,2,2,5,3,5,4,1,2,3,2,9,10,10,10,9,10,10,7,27
KVG,CV,F,16,U,Indian,GT3,yes,yes,T,2,4,2,at_home,selfemployed,2,below,yes,yes,no,2,5,home,other,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,5,no,3,2,2,1,1,yes,no,no,yes,5,no,English,no,5,2,M,5,3,1,3,3,1,2,3,1,5,2,5,5,2,online,no,no,yes,yes,2,2,4,4,2,2,2,1,4,3,15,16,14,15,15,16,15,14,45
KVG,CV,F,16,R,Indian,GT3,yes,no,T,5,4,4,at_home,selfemployed,4,above,yes,yes,no,5,5,other,other,1,2,0,no,yes,no,no,yes,yes,no,no,3,no,4,3,2,1,1,no,no,yes,no,4,no,English,no,1,4,M,2,2,5,5,1,2,2,5,1,2,5,3,4,3,online,no,yes,yes,no,4,3,5,3,1,4,4,2,5,2,10,11,10,10,10,11,10,9,30
KVG,CV,F,16,U,Indian,GT3,yes,yes,T,4,1,1,at_home,selfemployed,5,below,no,yes,yes,4,4,home,other,1,2,0,no,yes,no,yes,yes,yes,yes,no,2,yes,4,2,3,1,1,yes,yes,no,yes,5,yes,Kannada,no,3,4,M,2,5,3,1,5,5,6,5,3,5,2,1,3,5,online,yes,no,yes,yes,2,5,2,3,2,5,1,3,2,3,10,8,10,10,10,9,10,11,30
KVG,CV,F,16,U,Indian,LE3,yes,yes,T,5,1,2,private,private,3,below,no,yes,no,5,4,course,mother,4,1,0,yes,yes,no,yes,no,yes,yes,no,4,no,2,4,4,2,3,yes,no,yes,no,1,no,Kannada,no,3,5,F,3,5,3,5,3,5,6,5,3,4,2,5,3,4,online,no,no,yes,no,1,4,4,5,2,2,2,2,3,1,8,10,10,9,9,9,9,6,24
